Time,Amplitude
0.0,0.0
0.001,0.006283143965558951
0.002,0.012566039883352607
0.003,0.018848439715408175
0.004,0.02513009544333748
0.005,0.03141075907812829
0.006,0.03769018266993454
0.007,0.0439681183178649
0.008,0.050244318179769556
0.009000000000000001,0.056518534482024534
0.01,0.06279051952931337
0.011,0.06906002571440578
0.012,0.07532680552793272
0.013000000000000001,0.08159061156815756
0.014,0.08785119655074317
0.015,0.09410831331851431
0.016,0.1003617148512149
0.017,0.10661115427525991
0.018000000000000002,0.1128563848734817
0.019,0.11909716009486973
0.02,0.12533323356430426
0.021,0.1315643590922825
0.022,0.13779029068463805
0.023,0.14401078255225216
0.024,0.15022558912075706
0.025,0.15643446504023087
0.026000000000000002,0.1626371651948836
0.027,0.16883344471273387
0.028,0.17502305897527604
0.029,0.18120576362713736
0.03,0.1873813145857246
0.031,0.19354946805086023
0.032,0.19970998051440703
0.033,0.20586260876988133
0.034,0.21200710992205463
0.035,0.21814324139654256
0.036000000000000004,0.2242707609493812
0.037,0.23038942667659057
0.038,0.23649899702372468
0.039,0.2425992307954074
0.04,0.2486898871648548
0.041,0.25477072568338216
0.042,0.26084150628989694
0.043000000000000003,0.26690198932037557
0.044,0.27295193551732516
0.045,0.2789911060392293
0.046,0.2850192624699761
0.047,0.2910361668282718
0.048,0.2970415815770349
0.049,0.30303526963277394
0.05,0.3090169943749474
0.051000000000000004,0.3149865196553048
0.052000000000000005,0.32094360980720954
0.053,0.32688802965494246
0.054,0.3328195445229866
0.055,0.33873792024529137
0.056,0.34464292317451706
0.057,0.350534320191259
0.058,0.35641187871325075
0.059000000000000004,0.3622753667045457
0.06,0.3681245526846779
0.061,0.3739592057378004
0.062,0.37977909552180106
0.063,0.38558399227739654
0.064,0.3913736668372024
0.065,0.3971478906347806
0.066,0.40290643571366264
0.067,0.40864907473634904
0.068,0.41437558099328414
0.069,0.42008572841180625
0.07,0.4257792915650727
0.07100000000000001,0.431456045680959
0.07200000000000001,0.43711576665093294
0.073,0.44275823103890144
0.074,0.44838321609003223
0.075,0.45399049973954675
0.076,0.4595798606214878
0.077,0.4651510780774583
0.078,0.4707039321653325
0.079,0.47623820366793906
0.08,0.4817536741017153
0.081,0.4872501257253323
0.082,0.49272734154829156
0.083,0.4981851053394908
0.084,0.5036232016357608
0.085,0.5090414157503713
0.08600000000000001,0.5144395337815064
0.08700000000000001,0.5198173426207096
0.088,0.5251746299612956
0.089,0.530511184306734
0.09,0.5358267949789967
0.091,0.5411212521268758
0.092,0.5463943467342691
0.093,0.5516458706284302
0.094,0.556875616488188
0.095,0.5620833778521306
0.096,0.5672689491267565
0.097,0.5724321255945909
0.098,0.5775727034222675
0.099,0.5826904796685761
0.1,0.5877852522924731
0.101,0.5928568201610592
0.10200000000000001,0.5979049830575188
0.10300000000000001,0.6029295416890247
0.10400000000000001,0.6079302976946055
0.105,0.6129070536529764
0.106,0.6178596130903343
0.107,0.6227877804881126
0.108,0.6276913612907005
0.109,0.6325701619131244
0.11,0.6374239897486896
0.111,0.6422526531765844
0.112,0.6470559615694442
0.113,0.6518337253008788
0.114,0.6565857557529565
0.115,0.6613118653236518
0.116,0.6660118674342517
0.117,0.67068557653672
0.11800000000000001,0.6753328081210245
0.11900000000000001,0.6799533787224191
0.12,0.6845471059286886
0.121,0.6891138083873485
0.122,0.6936533058128049
0.123,0.6981654189934726
0.124,0.7026499697988492
0.125,0.7071067811865476
0.126,0.7115356772092853
0.127,0.7159364830218311
0.128,0.7203090248879069
0.129,0.7246531301870466
0.13,0.7289686274214116
0.131,0.7332553462225601
0.132,0.7375131173581739
0.133,0.7417417727387392
0.134,0.7459411454241821
0.135,0.7501110696304596
0.136,0.7542513807361038
0.137,0.7583619152887219
0.138,0.7624425110114479
0.139,0.7664930068093498
0.14,0.7705132427757893
0.14100000000000001,0.7745030601987338
0.14200000000000002,0.7784623015670235
0.14300000000000002,0.7823908105765881
0.14400000000000002,0.7862884321366189
0.145,0.7901550123756903
0.146,0.7939903986478353
0.147,0.797794439538571
0.148,0.8015669848708765
0.149,0.8053078857111219
0.15,0.8090169943749475
0.151,0.812694164433094
0.152,0.8163392507171839
0.153,0.8199521093254523
0.154,0.8235325976284275
0.155,0.8270805742745618
0.156,0.8305958991958126
0.157,0.8340784336131711
0.158,0.8375280400421417
0.159,0.840944582298169
0.16,0.8443279255020151
0.161,0.8476779360850831
0.162,0.8509944817946918
0.163,0.8542774316992952
0.164,0.8575266561936523
0.165,0.8607420270039436
0.166,0.8639234171928353
0.167,0.86707070116449
0.168,0.8701837546695257
0.169,0.8732624548099202
0.17,0.8763066800438637
0.171,0.8793163101905562
0.17200000000000001,0.8822912264349533
0.17300000000000001,0.8852313113324553
0.17400000000000002,0.8881364488135446
0.17500000000000002,0.8910065241883678
0.176,0.8938414241512637
0.177,0.8966410367852358
0.178,0.899405251566371
0.179,0.9021339593682028
0.18,0.9048270524660196
0.181,0.9074844245411169
0.182,0.9101059706849957
0.183,0.9126915874035028
0.184,0.9152411726209175
0.185,0.9177546256839811
0.186,0.9202318473658703
0.187,0.9226727398701148
0.188,0.925077206834458
0.189,0.9274451533346614
0.19,0.9297764858882513
0.191,0.932071112458211
0.192,0.934328942456612
0.193,0.9365498867481924
0.194,0.9387338576538741
0.195,0.9408807689542255
0.196,0.9429905358928644
0.197,0.9450630751798048
0.198,0.9470983049947443
0.199,0.9490961449902946
